,job_title,organization,min_salary,max_salary,location,job_description,job_type
0,"Developer Experience Engineer, AI Compiler",Tenstorrent,$100,$500,"Austin, Texas, United States","Tenstorrent is leading the industry on cutting-edge AI technology, revolutionizing performance expectations, ease of use, and cost efficiency. With AI redefining the computing paradigm, solutions must evolve to unify innovations in software models, compilers, platforms, networking, and semiconductors. Our diverse team of technologists have developed a high performance RISC-V CPU from scratch, and share a passion for AI and a deep desire to build the best AI platform possible. We value collaboration, curiosity, and a commitment to solving hard problems. We are growing our team and looking for contributors of all seniorities. We are seeking a Developer Experience Engineer to improve the way engineers build, test, and release software across our AI platform. In this role, you will work across teams to enhance internal tooling, improve code quality, and drive reliability throughout the development lifecycle. You'll lead efforts around automation, testing infrastructure, release pipelines, and operational stability to ensure engineers can move fast without compromising quality. This role is hybrid based in Austin, TX; Toronto, ON; or Santa Clara, CA. We welcome candidates at various experience levels for this role. During the interview process, candidates will be assessed for the appropriate level, and offers will align with that level, which may differ from the one in this posting. Who You Are A hands-on engineer passionate about developer productivity, code quality, and internal tooling. Experienced with CI/CD systems, test automation, and release workflows. Familiar with tools like linters, static analyzers, and code review automation. Comfortable working across scripting languages and infrastructure, such as Python, Bash, GitHub Actions, and monitoring tools. What We Need Oversee and improve end-to-end release and QA workflows, ensuring reliability and stability at every stage, including release validation and implementation. Work closely with engineering teams to reduce friction and uphold high development standards. Implement and manage automated testing, linting, and static analysis frameworks to catch issues early and maintain code quality. What You Will Learn How to scale developer infrastructure and quality assurance across a full stack AI platform. Best practices for testing MLIR compilers, system runtimes, and high-performance code targeting custom hardware. How to deliver predictable, high-quality software through automation, monitoring, and data-driven insights. How Tenstorrent combines open source tooling, developer feedback, and robust QA processes to support sustainable innovation. Compensation for all engineers at Tenstorrent ranges from $100k - $500k including base and variable compensation targets. Experience, skills, education, background and location all impact the actual offer made. Tenstorrent offers a highly competitive compensation package and benefits, and we are an equal opportunity employer. This offer of employment is contingent upon the applicant being eligible to access U.S. export-controlled technology. Due to U.S. export laws, including those codified in the U.S. Export Administration Regulations (EAR), the Company is required to ensure compliance with these laws when transferring technology to nationals of certain countries (such as EAR Country Groups D:1, E1, and E2). These requirements apply to persons located in the U.S. and all countries outside the U.S. As the position offered will have direct and/or indirect access to information, systems, or technologies subject to these laws, the offer may be contingent upon your citizenship/permanent residency status or ability to obtain prior license approval from the U.S. Commerce Department or applicable federal agency. If employment is not possible due to U.S. export laws, any offer of employment will be rescinded.",Full Time
1,Forward Deployed Engineer (AI Agent),Cresta,"$150,000","$250,000","United States, Remote","Cresta is on a mission to turn every customer conversation into a competitive advantage by unlocking the true potential of the contact center. Our platform combines the best of AI and human intelligence to help contact centers discover customer insights and behavioral best practices, automate conversations and inefficient processes, and empower every team member to work smarter and faster. Born from the prestigious Stanford AI lab, Cresta's co-founder and chairman is Sebastian Thrun , the genius behind Google X, Waymo, Udacity, and more. Our leadership also includes CEO, Ping Wu , the co-founder of Google Contact Center AI and Vertex AI platform, and co-founder, Tim Shi , an early member of Open AI. Join us on this thrilling journey to revolutionize the workforce with AI. The future of work is here, and it's at Cresta. About the role: At Cresta, the AI Agent team is on a mission to create state-of-the-art AI Agents that solve practical problems for our customers. We are focused on leveraging the latest technologies in Large Language Models (LLMs) and AI Agent systems, while ensuring that the solutions we develop are cost-effective, secure, and reliable. As an AI Agent Engineer , you'll be at the forefront of deploying AI agents that address real-world challenges. In this role, you will work closely with customers as well as our software and machine learning engineers, ensuring high-impact AI Agent deployments and contributing to the continuous improvement of our core AI platform. You’ll develop intelligent AI agents, integrate them seamlessly with external systems and offer hands-on technical expertise to ensure successful deployments.. This position requires strong engineering skills, adaptability, and customer engagement. If you are self-driven, analytical, and eager to leverage AI in practical applications, this role is for you. What You'll Do : AI Agent Development: Develop, configure, deploy, and optimize AI agents using Cresta’s AI platform and tools. System Integration: Build AI agent integrations with external systems (APIs, databases, CRMs, etc.) to ensure seamless workflow integration. Performance Optimization: Optimize AI agent performance (e.g. fine-tune prompts and configurations) and troubleshoot issues in complex enterprise environments. Requirements Gathering: Collaborate with customers and internal stakeholders to gather technical requirements and translate business needs into AI Agent solutions. Demos & Iteration: Conduct interactive demos and present compelling proof-of-concepts to prospective customers, proactively gather feedback, and iteratively refine solutions to meet objectives. Project Coordination: Define project milestones, create implementation plans, and coordinate execution with internal teams to ensure on-time delivery. Provide a tight feedback loop to our product and engineering teams — identifying gaps, building custom tooling, and influencing the roadmap through real-world deployment learnings. Partner Cross-Functionally: Collaborate with PMs to define agent goals, iterate rapidly based on customer feedback, and shape product capabilities that maximize customer ROI. Technical Guidance: Serve as a trusted technical advisor for the customer, guiding best practices for AI agent adoption and usage. Provide technical guidance on AI agent best practices, including architecture design, security considerations, and scalability planning. What We're Looking For: Education: Bachelor’s or Master’s degree in Computer Science, Engineering, or a related field. Experience: 3+ years of experience in software development, AI/ML engineering, or system integration. Programming Skills: Proficiency in Python and Golang, with the ability to write clean, efficient code. AI/ML Knowledge: Familiarity with AI/ML concepts. Hands-on experience with large language models (LLMs), and prompt engineering techniques are strongly preferred. AI Agent Frameworks: Strong understanding of general AI agent frameworks, function calling, and retrieval-augmented generation (RAG). Hands-on experience of building such a system is strongly preferred. Cloud & DevOps: Experience with cloud platforms (AWS, GCP, or Azure) and DevOps practices (CI/CD, containerization, monitoring). Integration Expertise: Hands-on experience with integrating systems via APIs, webhooks, and data pipelines. Communication: Excellent communication and project management skills. Analytical Approach: Ability to use data-driven decision-making, including A/B testing and performance monitoring, to refine solutions. Collaborative Builder: You thrive in cross-functional environments, working hand-in-hand with PMs and engineers to turn real customer problems into scalable AI solutions. Perks & Benefits: We offer a comprehensive and people-first benefits package to support you at work and in life: Comprehensive medical, dental, and vision coverage with plans to fit you and your family Flexible PTO to take the time you need, when you need it Paid parental leave for all new parents welcoming a new child Retirement savings plan to help you plan for the future Remote work setup budget to help you create a productive home office Monthly wellness and communication stipend to keep you connected and balanced In-office meal program and commuter benefits provided for onsite employees Compensation at Cresta Cresta’s approach to compensation is simple: recognize impact, reward excellence, and invest in our people. We offer competitive, location-based pay that reflects the market and what each individual brings to the table. The posted base salary range represents what we expect to pay for this role in a given location. Final offers are shaped by factors like experience, skills, education, and geography. In addition to base pay, total compensation includes equity and a comprehensive benefits package for you and your family. Salary Range : $150,000–$250,000 + Offers Equity We have noticed a rise in recruiting impersonations across the industry, where scammers attempt to access candidates' personal and financial information through fake interviews and offers. All Cresta recruiting email communications will always come from the @cresta.ai domain. Any outreach claiming to be from Cresta via other sources should be ignored. If you are uncertain whether you have been contacted by an official Cresta employee, reach out to recruiting@cresta.ai",Full Time
2,Fullstack Engineer,Lightning AI,"$120,000","$250,000","San Francisco, California, United States","Who We Are Lightning AI is the company reimagining the way AI is built. After creating and releasing PyTorch Lightning in 2019, Lightning AI was launched to reshape the development of artificial intelligence products for commercial and academic use. We are on a mission to simplify AI development, making it accessible to everyone—from solo researchers to large enterprises. By removing the complexity of building and deploying AI tools, we empower innovators to focus on solving real-world problems. Our platform is built to scale with the latest AI advancements while staying intuitive and adaptable, so you can bring your ideas to life. We have offices in New York City, San Francisco, and London and are backed by investors such as Coatue, Index Ventures, Bain Capital Ventures, and Firstminute. Our Values Move Fast : We act with speed and precision, breaking down big challenges into achievable steps. Focus : We complete one goal at a time with care, collaborating as a team to deliver features with precision. Balance : Sustained performance comes from rest and recovery. We ensure a healthy work-life balance to keep you at your best. Craftsmanship : Innovation through excellence. Every detail matters, and we take pride in mastering our craft. Minimal : Simplicity drives our innovation. We eliminate complexity through discipline and focus on what truly matters. What We're Looking For We are looking for a Fullstack Engineer to work on developing and scaling the Lightning AI platform from the frontend, CLI, and API, to billing, security, and integrations. We want someone who can take ownership of key features and drive development from end to end while collaborating with a super-smart team of engineers, product managers, and designers. Here, you’ll build from proof of concept to release with a focus on speed, quality, and iteration. This is an opportunity to create groundbreaking technology that will transform the machine learning ecosystem! You will be joining the Red Squad and report to our Director of Product. This is a hybrid role based in our San Francisco office with in-office requirements of 2 days per week. The salary range for this role is $120,000 - $250,000. What You’ll Do Write readable/testable/efficient code in React and either Python or Go (Golang). Master our technology stack to deliver new features, improve system stability, and increase overall performance. Partner with engineering and product leaders on developing the Lightning product while using your experience to set the technical direction for large projects. Evaluate, strengthen, and document technical architecture, tools, and processes. Champion software quality, implement automation, drive continuous delivery, and reduce time to production while proactively reducing technical debt. Mentor and coach engineers on system design, operating in high uncertainty, and problem-solving to create a supportive, inclusive environment where each engineer can grow. What You’ll Need Proficiency in React and Go (Golang). Strong understanding of software engineering principles and lifecycle. Hands-on experience as a full stack engineer in a SaaS technology company Proven ability to take ownership of key features and drive end-to-end development Communication and collaboration with engineers, product managers, and designers Ability to operate in high uncertainty and rapidly changing environments Benefits and Perks We offer competitive base salaries and stock options with a 25% one year cliff and monthly vesting thereafter. For our international employees, we work with Velocity Global to pay you in your local currency and provide equitable benefits across the globe. In the US, we offer: Medical, dental and vision Life and AD&D insurance Flexible paid time off plus 1 week of winter closure Generous paid family leave benefits $500 monthly meal reimbursement, including groceries & food delivery services $500 one time home office stipend $1,000 annual learning & development stipend 100% Citibike membership (NYC only) $45/month gym membership Additional various medical and mental health services At Lightning AI, we are committed to fostering an inclusive and diverse workplace. We believe that diverse teams drive innovation and create better products. We provide equal employment opportunities to all employees and applicants without regard to race, color, religion, gender, sexual orientation, gender identity, national origin, age, disability, veteran status, or any other protected characteristic. We are dedicated to building a culture where everyone can thrive and contribute to their fullest potential.",Full Time
3,Gameplay Engineer (AI),2K,"$170,000","$215,000","Sparks Glencoe, Maryland, United States","Firaxis Games is seeking a motivated gameplay engineer to join our development team. We're looking for an engineer with a strong foundation in software development who enjoys working on a diverse set of exciting problems. In this role, candidates will serve as a domain expert in NPC AI engineering. Firaxis is a highly collaborative and iterative environment. The ideal candidate will possess the ability to communicate easily and effectively with fellow coders, designers and artists. What You Will Do Implement gameplay features within Unreal Engine 5 Develop and maintain NPC AI systems Support designers in their needs Work closely with other departments to understand project goals and requirements Provide direction and advice on technical decisions, architecture, and workflow optimization to ensure successful AI integration Set high standards for code quality, performance, and maintainability Assist team to resolve difficult technical issues and address Unreal Engine-related challenges Design and implement modifications, reorganizations, extensions, and optimizations to existing code base Actively maintain skill-set and knowledge base by keeping track of the latest innovations from the industry Optimize builds for memory and performance across many platforms Who We Believe Will Be A Great Fit 3+ years of engineering experience using Unreal Engine A broad knowledge of Unreal's internals Excellent communication and teamwork skills Highly proficient in C++ programming and debugging Knowledgeable about multi-threading, templates, and optimizing Strong problem solving and debugging skills Self-motivated and passionate about games Good team communication skills, able to translate rough ideas into concrete implementations Pluses: Experience with Unreal Engine 5 AI Experience with multiple languages, frameworks and tools Good instincts for game design and fun and innovative gameplay As an equal opportunity employer, we are committed to ensuring that qualified individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform their essential job functions, and to receive other benefits and privileges of employment. Please contact us if you need reasonable accommodation. Please note that 2K Games and its studios never uses instant messaging apps or personal email accounts to contact prospective employees or conduct interviews and when emailing, only use 2K.com accounts. Please note that 2K Games and its studios never uses instant messaging apps or personal email accounts to contact prospective employees or conduct interviews and when emailing, only use 2K.com accounts. #LI-Remote",Full Time
4,GTM AI Engineer,Motive,"$107,000","$147,000",United States - Remote,"Who we are: Motive empowers the people who run physical operations with tools to make their work safer, more productive, and more profitable. For the first time ever, safety, operations and finance teams can manage their drivers, vehicles, equipment, and fleet related spend in a single system. Combined with industry leading AI, the Motive platform gives you complete visibility and control, and significantly reduces manual workloads by automating and simplifying tasks. Motive serves nearly 100,000 customers – from Fortune 500 enterprises to small businesses – across a wide range of industries, including transportation and logistics, construction, energy, field service, manufacturing, agriculture, food and beverage, retail, and the public sector. Visit gomotive.com to learn more. About the Role: As a GTM AI Engineer (AKA AI RevDev) on the AI Sales Operations team, you'll be at the forefront of our AI strategy, getting hands-on with cutting edge technology to solve real-world business problems. You will be an internal AI development expert, building (and subsequently owning) a suite of agentic workflows and front-end applications that our 1000+ member sales team will leverage on a daily basis, with coverage from our SMB to Strategic teams. You will own the full development lifecycle for internal AI tools, encompassing everything from initial prototyping and proof-of-concept development to scaling solutions for production, conducting beta tests with end-users, and providing ongoing maintenance. Your responsibilities will include constructing sophisticated agents using platforms like Glean and N8N, developing front-end applications with low-code tools such as Retool and Cursor, and crafting intricate prompts for AI models including Glean, Gemini, and Perplexity. We're looking for someone with an experimentation mindset—eager to prototype, learn quickly from failure, and explore new ideas. You should be passionate about AI’s potential to transform work and have a strong grasp of concepts like context windows, token usage, compute costs, chunking, and performance benchmarks. Experience with scripting, SQL/SOQL, Python basics, and prompt engineering using models like ChatGPT, Gemini, Claude, etc., via web and API is essential. Familiarity with the evolving agentic ecosystem (orchestration layers, MCP), and the ability to explain technical topics to non-technical audiences, especially in a GTM context, is key. What You'll Do: Own the full development cycle of prototyping / developing proof of concepts, scaling prototypes for production use, beta testing with end users, and performing ongoing maintenance for internal AI tools This includes building complex agents using Glean and N8N, using low code tools like Retool or Cursor to develop front-end applications, and creating complex prompts for use in Glean, Gemini, or Perplexity Internally developed tools will often be tested head-to-head with external vendors to determine the efficacy of the solutions we build Collaborate with our internal product managers and ESYS team to integrate key data sources into your applications / agents in a secure way that respects Motive’s data governance structure Ensure agents and applications follow UX best practices and can be easily leveraged by a less technical business audience Have a strong POV on when an agentic workflow is warranted vs a point solution (i.e., prompt). Have a strong POV on which of our internal AI tools is best suited to solve a specific use case Manage a provided cost envelope for production use cases, testing different LLM models to balance performance with token consumption cost Create and maintain documentation around launched solutions Train end-users on the usage of launched tools Stay up-to-date on the latest advancements in LLM’s and agentic orchestration What We're Looking For: 3-5 years of hands-on development experience in an enterprise environment while leveraging machine learning + AI models Strong understanding of AI fundamentals such as context windows, token consumption, compute cost, chunking, and performance benchmarks Understanding of API usage, limitations, and how to leverage API’s to aggregate data across multiple source platforms. This includes an understanding of rate limits scalable API use as it pertains to both data sources and LLM’s Understanding of scripting, SQL / SOQL, and Python fundamentals Experience leveraging prompt engineering to complete complex tasks, such as multi-step agentic workflows or coding Experience leveraging foundational models (Gemini, ChatGPT, Perplexity, Claude, Grok and others), both through the web interface and via the API Familiarity with the rapidly evolving agentic landscape, including orchestration layers, MCP, and Agent2Agent Ability to communicate technical concepts to a non-technical end user Fully remote position (USA or Canada and must already be located in the country) Pay Transparency Your compensation may be based on several factors, including education, work experience, and certifications. For certain roles, total compensation may include restricted stock units. Motive offers benefits including health, pharmacy, optical and dental care benefits, paid time off, sick time off, short term and long term disability coverage, life insurance as well as 401k contribution (all benefits are subject to eligibility requirements). Learn more about our benefits by visiting Motive Perks & Benefits . The compensation range for this position will depend on where you reside. For this role, the compensation range is: United States $107,000 - $147,000 USD Creating a diverse and inclusive workplace is one of Motive's core values. We are an equal opportunity employer and welcome people of different backgrounds, experiences, abilities and perspectives. Please review our Candidate Privacy Notice here . UK Candidate Privacy Notice here . The applicant must be authorized to receive and access those commodities and technologies controlled under U.S. Export Administration Regulations. It is Motive's policy to require that employees be authorized to receive access to Motive products and technology. #LI-Remote",Full Time
5,"Intern, Test AI Engineer","Samsung Semiconductor, Inc.",$28,$62,"San Jose, California, United States","Please Note: To provide the best candidate experience amidst our high application volumes, each candidate is limited to 10 applications across all open jobs within a 6-month period. Advancing the World’s Technology Together Our technology solutions power the tools you use every day--including smartphones, electric vehicles, hyperscale data centers, IoT devices, and so much more. Here, you’ll have an opportunity to be part of a global leader whose innovative designs are pushing the boundaries of what’s possible and powering the future. We believe innovation and growth are driven by an inclusive culture and a diverse workforce. We’re dedicated to empowering people to be their true selves. Together, we’re building a better tomorrow for our employees, customers, partners, and communities. What You’ll Learn Project Overview: Design, development, and deployment of AI based engineering tools for the Test Team at Samsung Skills You’ll Learn: Design and development of AI based tools to improve efficiency of engineering teams especially test teams. Use of custom ML implementations and open source LLMs in application development Deployment, training and maintenance of production grade applications Test Automation and Data Analysis: Gain expertise in automating testing processes and analyzing large SSD test datasets to identify trends and insights Collaboration with multiple teams and stakeholders such as test team, IT infrastructure and security teams to build consensus on infra tool deployments What You’ll Do You will be part of the SSD test team at Samsung. The test team is in charge of: Sanity, Pre-Qualification and Joint Qualification testing, on target customer systems for all of Enterprise/DC SSD Projects covering all interfaces (SAS/NVMe) Reproduction of customer issues and expertise on system side logs and behavior to resolve defects CI/CD testing for HIL code truck health In support of the test team mission you will design, develop and deploy AI based tools to improve the efficiency of the team. Location: Onsite at our San Jose office/headquarters 5 days a week in alignment with our Flexible Work policy Reports to: Sr. Manager Design and develop AI-based productivity tools to automate and streamline SSD testing processes Collaborate with cross-functional teams to identify areas where AI can be leveraged to improve testing efficiency and accuracy Develop and deploy machine learning models to analyze test data and predict potential issues Work with the SSD test team to integrate AI-based tools into existing workflows Analyze test data to identify trends and areas for improvement Document and present findings and recommendations to the team and management What You Bring Pursuing Bachelors or Masters in Computer Science Must have at least 1 academic quarter/semester remaining Strong programming skills in languages such as Python, Java, or C++ Experience with machine learning frameworks and libraries (e.g., TensorFlow, PyTorch) Familiarity with data analysis and visualization tools (e.g., Pandas, Matplotlib, Seaborn) Familiarity with Computer Architecture Strong problem-solving skills and ability to work independently Excellent communication and collaboration skills Experience with SSD testing or storage systems is a plus, but not required You’re inclusive, adapting your style to the situation and diverse global norms of our people An avid learner, you approach challenges with curiosity and resilience, seeking data to help build understanding You’re collaborative, building relationships, humbly offering support and openly welcoming approaches Innovative and creative, you proactively explore new ideas and adapt quickly to change What We Offer The pay range below is for all roles at this level across all US locations and functions. Individual pay rates depend on a number of factors—including the role’s function and location, as well as the individual’s knowledge, skills, experience, education, and training. This is in addition to our diverse package of benefits centered around the wellbeing of our employees and their loved ones. In addition to the usual Medical/Dental/Vision, our inclusive rewards plan empowers our people to care for their whole selves. An investment in your future is an investment in ours. Relocation Support Live 50+ miles away from your new office? No worries! We'll provide a stipend to help support your move. Housing Stipend Signing a lease on a new place for your summer internship? We'll help you pay your way with a monthly stipend. Give Back With a charitable giving match and frequent opportunities to get involved, we take an active role in supporting the community. Prioritize Emotional Wellness With on-demand apps and paid therapy sessions, you’ll have support no matter where you are. Stay Fit Eating well and being active are important parts of a healthy life. Our onsite Café and gym, plus virtual classes, make it easier. Embrace Flexibility Benefits are best when you have the space to use them. That’s why we facilitate a flexible environment so you can find the right balance for you. Hourly Base Pay Rate $28 - $62 USD Equal Opportunity Employment Policy Samsung Semiconductor takes pride in being an equal opportunity workplace dedicated to fostering an environment where all individuals feel valued and empowered to excel, regardless of race, religion, color, age, disability, sex, gender identity, sexual orientation, ancestry, genetic information, marital status, national origin, political affiliation, or veteran status. When selecting team members, we prioritize talent and qualities such as humility, kindness, and dedication. We extend comprehensive accommodations throughout our recruiting processes for candidates with disabilities, long-term conditions, neurodivergent individuals, or those requiring pregnancy-related support. All candidates scheduled for an interview will receive guidance on requesting accommodations. Recruiting Agency Policy We do not accept unsolicited resumes. Only authorized recruitment agencies that have a current and valid agreement with Samsung Semiconductor, Inc. are permitted to submit resumes for any job openings. Applicant AI Use Policy At Samsung Semiconductor, we support innovation and technology. However, to ensure a fair and authentic assessment, we prohibit the use of generative AI tools to misrepresent a candidate's true skills and qualifications. Permitted uses are limited to basic preparation, grammar, and research, but all submitted content and interview responses must reflect the candidate’s genuine abilities and experience. Violation of this policy may result in immediate disqualification from the hiring process. Applicant Privacy Policy https://semiconductor.samsung.com/about-us/careers/us/privacy/",Full Time
6,Machine Learning Engineer,EvolutionaryScale,"$150,000","$350,000","New York, NY // San Francisco, CA, United States","EvolutionaryScale’s mission is to develop artificial intelligence to understand biology for the benefit of human health and society, through open, safe, and responsible research, and in partnership with the scientific community. Over the next ten years AI will transform biological design, making molecules and entire cells programmable. We will develop the foundation models for biology that enable this. To continue to move the field forward in this emerging area, we prioritize individuals who have shown excellence and creativity in their respective domains over specific domain expertise. Having both biology and AI expertise is great, but not a requirement. Our team does both deep research and product development, not only building the frontier biological AI models in the field but also putting them in the hands of the researchers at the forefront of the life sciences. This fundamentally requires elite engineers and scientists working together to solve big research and product challenges. We are building a world class multi-disciplinary team spanning AI research, engineering, biology research, and business roles, which requires strong communication and collaboration across roles. The EvolutionaryScale team is based in two locations: San Francisco and New York. We believe in flexibility around work schedules and locations, but expect that our team members will work half of the days or more of most weeks from one of our two offices. The Role Contribute to the process of transitioning research to product by deploying models to production environments. Collaborate with researchers and engineers at the company’s partners (clients or academic partners) to deploy the company’s technology within their infrastructure. Be effective representatives of the company and our products to partners and other external collaborators. Manage artifact tracking for different fine-tuned models and data. Conduct data pipeline work including use of Apache Spark, Apache Arrow, Pandas, distributed computing for large-scale data processing Help cultivate best practices in MLOps, and think about the full ML lifecycle, including data, fine-tuning, deployment, reliability and monitoring Work on simplification and improvement of codebase abstractions to accelerate research momentum Possess the ability to execute complex modifications to the research pipeline, such as fast data loading and distributed training Handle DevOps responsibilities, focused on making all engineers and researchers more productive. This includes tasks like cluster monitoring, unit testing and integration testing of research codebase, and continuous integration. Preferred qualifications Experience with Pytorch or low-level programming is a plus. Experience with distributed computing frameworks like Apache Spark or Dask Knowledge of cloud computing platforms like AWS, Google Cloud, or Azure Familiarity with containerization and orchestration tools such as Docker and Kubernetes The salary range for this position is $150,000 to $350,000 per year, plus a competitive equity package. Compensation package will vary based on job-related skills, experience, and knowledge. The compensation package also includes comprehensive medical, dental, and vision benefits.",Full Time
7,ML Engineering Intern (2025 Winter ML infra and Model Optimization),"Genies, Inc.",$45,$45,"Los Angeles, California, United States","Genies is an avatar technology company powering the next era of interactive digital identity through AI companions. With the Avatar Framework and intuitive creation tools, Genies enables developers, talent, and creators to generate and deploy game-ready AI companions. The company’s technology stack supports full customization, AI-generated fashion and props, and seamless integration of user-generated content (UGC). Backed by investors including Bob Iger, Silver Lake, BOND, and NEA, Genies’ mission is to become the visual and interactive layer for the LLM-powered internet. Genies is looking for a ML Infra Intern to join our R&D group this summer. Based either in our Los Angeles or San Mateo offices (Hybrid), you will work closely with a dedicated and talented team of technical artists, engineers and artists. Together, you will explore new concepts and technologies to further Genies' mission of empowering users to develop their own avatar ecosystems. We're looking for someone who is passionate about creating high-quality visuals and has the technical foundation to help us build the next wave of digital identity. What You’ll be Doing: Research State-of-the-Art (SOTA) models, implement model architecture and training loops, and run training experiments. Deploy optimized models for image generation and 3D generation across different platforms. Apply model compression, quantization, pruning, and optimization techniques to improve inference efficiency and reduce latency. Evaluate and benchmark model performance to ensure accuracy, speed, and reliability. Collaborate cross-functionally and present your findings, insights, and results to the team and broader company. What You Should Have: Currently enrolled in or a recent graduate of a PhD or Master degree program in Computer Science, Artificial Intelligence, Machine Learning, or a related field. Solid understanding of machine learning concepts and recent computer vision. Familiarity with programming languages such as Python and experience with machine learning libraries (e.g., PyTorch, TensorFlow, scikit-learn, Hugging Face). Ability to conduct research and prototype solutions based on academic literature. Strong problem-solving skills and the ability to work independently as well as in a team environment. Excellent communication skills, with the ability to present findings clearly and effectively. Bonus Skills (Nice-to-Have) Experience with model deployment frameworks (e.g., TorchServe, TensorRT, ONNX Runtime, SageMaker, or Ray Serve). Familiarity with distributed training, mixed-precision training, or FSDP/DeepSpeed. Previous experience in generative AI models (diffusion models, GANs, multimodal models). Starting Salary: $45/hour Here's why you'll love working at Genies: You'll work with a team that you’ll be able to learn from and grow with, including support for your own professional development You'll be at the helm of your own career, shaping it with your own innovative contributions to a nascent team and product with flexible hours and a work from home policy You'll enjoy the culture and perks of a startup, with the stability of being well funded Comprehensive health insurance for you and your family (Anthem + Kaiser Options Available), Dental and Vision Insurance Flexible paid time off, sick time, and paid company holidays, in addition to paid parental leave, bereavement leave, and jury duty leave for full-time employees Health & wellness support through programs such as monthly wellness reimbursement Working in a brand new, bright, open-environment and fun office space - there’s even a slide! Choice of MacBook or windows laptop Genies is an equal opportunity employer committed to promoting an inclusive work environment free of discrimination and harassment. We value diversity, inclusion, and aim to provide a sense of belonging for everyone.",Full Time
8,Senior AI Engineer,AlphaSense,"$178,000","$267,000","San Francisco, California, United States","About AlphaSense: The world’s most sophisticated companies rely on AlphaSense to remove uncertainty from decision-making. With market intelligence and search built on proven AI, AlphaSense delivers insights that matter from content you can trust. Our universe of public and private content includes equity research, company filings, event transcripts, expert calls, news, trade journals, and clients’ own research content. The acquisition of Tegus by AlphaSense in 2024 advances our shared mission to empower professionals to make smarter decisions through AI-driven market intelligence. Together, AlphaSense and Tegus will accelerate growth, innovation, and content expansion, with complementary product and content capabilities that enable users to unearth even more comprehensive insights from thousands of content sets. Our platform is trusted by over 6,000 enterprise customers, including a majority of the S&P 500. Founded in 2011, AlphaSense is headquartered in New York City with more than 2,000 employees across the globe and offices in the U.S., U.K., Finland, India, Singapore, Canada, and Ireland. Come join us! About the Team: Our diverse Product & Engineering team values innovation, collaboration, and the continuous improvement of our platform. We offer a dynamic work environment where employees can grow and thrive while working on cutting-edge technology that shapes the future of AI and search. At AlphaSense, we believe that diverse experiences and perspectives are critical to our success. We are committed to creating an inclusive workplace where all employees feel valued and empowered to be their authentic selves. About the Role: AlphaSense is seeking a passionate software engineer to join our AI & Search mission. This cluster of teams is responsible for developing the next-generation Generative AI platform powering AlphaSense’s AI & Search product features. As part of this team, you will collaborate with talented engineers to deliver scalable solutions for our world-class AI-powered search platform. What You’ll Do: Architect, design, and implement highly scalable services for AlphaSense AI and Search products Improve the reliability, latency, and cost-efficiency of AI and search services in cloud environments. Deploy AI and Search services to both SaaS and single-tenant cloud environments. Translate product requirements into software architectures in collaboration with Product Management. Solve challenges that come along with working with large language models (high latency, variance, etc.), leading to a defensive, fault-first mindset. Provide technical leadership and implement best practices for software development. Who You Are: Strong software engineering skills in back-end engineering on complex, data-intensive applications with professional, real-world experience with applications at scale Deep, hands-on experience across a few back-end web frameworks like FastAPI, Django, Sanic etc Experience in leading teams and/or projects in a full-stack environment Excellent communication, organizational, problem-solving, debugging, and analytical skills. Experience designing large-scale software systems and writing high-quality code and tests. Which includes handling error cases, asynchronous code, streaming data, caching, logging and analytics for understanding behavior in production. Familiarity with Kubernetes, Docker, and cloud platforms such as AWS, GCP, or Azure. Experience in deploying AI and search services (e.g. vector search) to single-tenant cloud environments. Knowledge of modern development practices, including CI/CD pipelines and automated testing frameworks. Experience in optimizing the performance and cost of cloud services. For base compensation, we set standard ranges for all roles based on function and level benchmarked against similar stage growth companies and internal comparables. In order to be compliant with local legislation, as well as to provide greater transparency to candidates, we share salary ranges on all job postings regardless of desired hiring location. Final offer amounts are determined by multiple factors including candidate experience/expertise and may vary from the amounts listed below. You may also be offered equity, and a generous benefits program. Compensation Range $178,000 - $267,000 USD AlphaSense is an equal-opportunity employer. We are committed to a work environment that supports, inspires, and respects all individuals. All employees share in the responsibility for fulfilling AlphaSense’s commitment to equal employment opportunity. AlphaSense does not discriminate against any employee or applicant on the basis of race, color, sex (including pregnancy), national origin, age, religion, marital status, sexual orientation, gender identity, gender expression, military or veteran status, disability, or any other non-merit factor. This policy applies to every aspect of employment at AlphaSense, including recruitment, hiring, training, advancement, and termination. In addition, it is the policy of AlphaSense to provide reasonable accommodation to qualified employees who have protected disabilities to the extent required by applicable laws, regulations, and ordinances where a particular employee works. Recruiting Scams and Fraud We at AlphaSense have been made aware of fraudulent job postings and individuals impersonating AlphaSense recruiters. These scams may involve fake job offers, requests for sensitive personal information, or demands for payment. Please note: AlphaSense never asks candidates to pay for job applications, equipment, or training. All official communications will come from an @ alpha-sense.com email address. If you’re unsure about a job posting or recruiter, verify it on our Careers page . If you believe you’ve been targeted by a scam or have any doubts regarding the authenticity of any job listing purportedly from or on behalf of AlphaSense please contact us. Your security and trust matter to us.",Full Time
9,,,,,,,
